"","klasifikasi","score","text"
"833","Netral",0,"kerenn"
"834","Netral",0,"gam diinya mudah dimi"
"835","Negatif",-2," â      bln inya  kenaembayaran manual  aidak muncul ya    keren   beli   nyuruh orang rumah  ngebayarin  mbanking bank indo   dii  temu  "
"836","Positif",3,"bagus banget aasinya    bermanfaat tingkatkan lagiðÿðÿðÿ"
"837","Netral",0,"good"
"838","Netral",0,"airan dana  lambat"
"839","Positif",1," bagus  investor la"
"840","Netral",0,"aasi  bagusss  recommended ðÿðÿðÿðÿðÿðÿ u d cobaa "
"841","Positif",3," mudah banget  gunain  fitur nya ngebantu banget    la  dunia investasi"
"842","Netral",0,"mantaah sy suka "
"843","Netral",0,"nganggu  aiklan  menganggu  honsaya mohon  hapus"
"844","Netral",0,"good acation"
"845","Positif",3,"investasi  bibit sangatâ menguntungkan  kasih ðÿœÿðÿœÿðÿœÿðÿœÿðÿœÿ  aasi   bagus  berinvestasi kreeen banget ðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿ"
"846","Netral",0,"top"
"847","Positif",1,"bagus"
"848","Positif",1,"bagus  la"
"849","Positif",1,"bagus"
"850","Positif",1,"aasi  bagus  investasi syariah taayang  menu ayaran  bank konvensional   nunggu  samada menu ayaran bank bsi  bank syariah lainya"
"851","Netral",0," membantu"
"852","Positif",1,"semoga smkin sukses  amanahamin"
"853","Positif",2,"aasinya  bagus  berinvestasi  kekurangannya  rikan dana membutuhkan     samumutan"
"854","Positif",1,"bagus"
"855","Positif",1,"bagus"
"856","Netral",0,"ðÿðÿ"
"857","Netral",0,"mantap"
"858","Positif",1,"kode ot gak masuk masuk   jengkel"
"859","Positif",1," rekomendasi  i aasi "
"860","Netral",0,"good"
"861","Positif",1,"mantatuk inves   muda"
"862","Netral",0,"mantaðÿðÿðÿðÿ"
"863","Positif",2," tedisebut nabung airannya  banget   butuh dana darurat gk cocok  "
"864","Netral",0,"jos"
"865","Positif",1,"belajar inves  bagus"
"866","Netral",0," nyoba"
"867","Positif",1,"cocok   debibit"
"868","Netral",0,"aantap"
"869","Positif",2,"bagus taenjualan samdengan ang masuk  rek   "
"870","Positif",1,"alhamdulillah sehat"
"871","Netral",0,"ok"
"872","Negatif",-2,"oh  aasi   orang  berhasilan tetarena  nyetor tialan  ulan nya k  tetagitu gak  nawar  hasilan rendah  si kaya nabung  bank taalau  bank  setor k k ya dimana  hasilan   setor "
"873","Positif",1," bagus"
"874","Netral",0,"aasinya mudah dimengerti  la ijin  saran   han reksadananya  dianyak "
"875","Netral",0,"mantach"
"876","Negatif",-1,"pencairanny susah lamaaaaaaaaaaa"
"877","Netral",0,"naaaiiissssss"
"878","Positif",2,"tolong mbahan fitur dark mode"
"879","Netral",0,"gitulah"
"880","Netral",0,"celengan digital"
"881","Negatif",-1,"investasi mudah  aman ga ribet deh"
"882","Negatif",-1," ue  susah  buka loadingnya    kadang koneksi ters  jaringan    just wth is this ðÿðÿ"
"883","Netral",0,"bibit semoga  aang  berkembang   memudahkan masyarakat"
"884","Positif",1,"aasi yg  membantu    sulit  menabung wkwk en nabung  sbn taibet   rek bca hm kenaak i bank jago aja  udah nyaman  bang jago hihh kesell"
"885","Netral",0,"mantap"
"886","Positif",1,"aasi   sy  memleh  keuntungan dgn menginvestasikan saham  bibi csomwg masukkan kode teferal  mendaan vouchero"
"887","Netral",0,"ok"
"888","Netral",0,"interface cakek mudah  jari transaksi mudah  code  bitjuara  biar dasaldo"
"889","Netral",0,"mantap"
"890","Netral",0,"stuck  logo bibit   login    "
"891","Positif",1,"aasi nya bagus  cuman utuk  kerja nya   mebutuhkan ses ari s hri lebihsemoga kedenya   membaik utuk jual beli nya gk membutuhkan ses yng lamaðÿðÿ"
"892","Positif",1,"bagus"
"893","Positif",2,"bibit  cocok     investasi  reksa dana"
"894","Netral",0,""
"895","Netral",0,"bgus bnget"
"896","Positif",1,"keamanan bibit penyemangat kamisemakin aman  semangat"
"897","Netral",0,"nabung yuk nabung"
"898","Positif",1,"bagus sistemnya mudah dimi"
"899","Netral",0,"oke"
"900","Netral",0,"easy use sam trusted app"
"901","Netral",0,"ausuk"
"902","Netral",0,"investasi  mudah  teraya"
"903","Netral",0,"coba"
"904","Netral",0,"ayo qta buka usaha "
"905","Netral",0,"masukan kode referral nya kawan nih  kawanibibit  nuhunðÿ"
"906","Negatif",-1,"tq y bibit gua  belajar nabung soalnyaðÿ"
"907","Netral",0,"gimana caranyaya bos"
"908","Netral",0,"cukukin semangat nabung"
"909","Negatif",-1,"mengaku   mengakses aasi     saldo ku"
"910","Positif",2,"ualan  bngt     dana  masuk  rekening"
"911","Positif",1," bagus"
"912","Positif",3,"det  rikan cegak takut  bermain  uang dasekali mantakali  rekomendasi layanan nggan meresdengan   kecen trading  stabil  mudah dimi fitur didalamnya teraya"
"913","Netral",0,"bibit"
"914","Positif",4," kasih  bintang karna   bibit  aasih  bagus  bidang investas  anak muda   la taerahkan  bibit tebaik  masah "
"915","Positif",1,"antarmuka nyaman  mudah      awam "
"916","Netral",0,"suka  terhubung akun stockbit  bank jago   susah klo to bank jago  eror ðÿ untung  autodebet"
"917","Netral",0,"aasi    investasi"
"918","Netral",0,"bibit    dibuka  kemarin kemarin  tolong k bibit solusisnyaa terimakasih"
"919","Netral",0,"cuanvin kode referalnya biar dk aasi oke   nabung  investasi  mudah ðÿðÿ"
"920","Netral",0,"proses airan  bertele tele  surat yataan  beda nama rekening   salah  tangan  mesin  ttd    ttd  ktp"
"921","Netral",0,"insyaallah berkah  bermanfaatðÿ"
"922","Positif",1,"cocok  la   merasakan nya"
"923","Netral",0,"ok"
"924","Netral",0,"aasi   bagus  membantu merencanakan keuangan"
"925","Positif",1,"okelah  invest reksa dana  ðÿœðÿðÿ"
"926","Netral",0,"mohon maaf min tolong res  k develoaasi   ol ya coz  yg chat   wa  aasi    ol"
"927","Netral",0," suka  syariah  "
"928","Positif",2,"lumayan mudah   la  mudah  mengerti  recomendedlah   bibit aasi   teraya  aman      terdaftar  ojk  otoritas jasa keuangan    terbukti amankan aasi  memudahkan konsumen  menyimdalam jangka  ya sei  contohnya"
"929","Netral",0,"bibit "
"930","Positif",1,"bibit  wadah utk berinvestasi  reksadana terbaik   investor la"
"931","Netral",0," kode referal tobamaju yaaa ðÿðÿ"
"932","Positif",1,"ah  sehnya aman  yg  "
"933","Netral",0,"mantap"
"934","Netral",0,"buruk   menghargai "
"935","Positif",2,"aasi   bagus agi  berinvestasi menambah hasilan ðÿðÿ"
"936","Netral",0,"tolong min tambahin  uk reksadana nya kayak obligasi syailendraðÿ overall  bagusðÿ cuman uk reksadana nya     "
"937","Positif",1,"mantalean anak muda wajib sih download  coba investasi"
"938","Positif",1,"bagus ter"
"939","Positif",2,"aasi bagus mudah dah bermanfaat"
"940","Positif",1,"bibit      berinvestasi   edukasinya sukses    deya"
"941","Positif",2,"bagus  berguna  anak muda"
"942","Netral",0,"mantalikasi  mudah "
"943","Netral",0,"ok"
"944","Netral",0,"mantap"
"945","Netral",0,""
"946","Negatif",-1,"  download aasi jelek"
"947","Positif",1,"bagus"
"948","Netral",0,"cocok     nabung  investasi  la  salah h aasi yaðÿ"
"949","Negatif",-1,"aasi  orang awam yg  belajar investasi"
"950","Netral",0,"ok"
"951","Positif",1,"aman  menaruh uang "
"952","Netral",0,"mantap"
"953","Positif",1,"bagus"
"954","Netral",0,"masuk  aasinya  lambat"
"955","Netral",0,"good"
"956","Negatif",-2,"penarikan nya  ga  estimasi nya  ga i"
"957","Positif",1,"aasi aperd terbaik"
"958","Netral",0,"good"
"959","Positif",1," bagus  berinvestasi"
"960","Netral",0,"ðÿ"
"961","Netral",0,"suka   aasi   membantu    investor la"
"962","Positif",1,"bagus"
"963","Netral",0,"sangan membantu   investasi semoga kedea bibit   canggih lgi"
"964","Positif",1,"lumayan"
"965","Positif",2,"bagus banget aasinya"
"966","Netral",0,"rekomen"
"967","Negatif",-2," damemuaskan nggan airan dana    hasil yg didatidak memuaskan ga   kebutuhan mendadak  hasil  kecewa"
"968","Netral",0,"joss"
"969","Netral",0,"  "
"970","Netral",0,"mantapp"
"971","Netral",0,"cool"
"972","Netral",0,"anvestasi yg mudah  mi  la kaya "
"973","Netral",0,"gk  ni aasidisuruh daftar sdh daftar disuruh kirin data sdh beres kirim data disuruh verifikasi email  bilang verifikasi gagalaneh   bilangnya berhasildan ok trifikasi gk lolos lu  ambil data org doang gk  ngajuin utang blum sdh gagalkonyol"
"974","Netral",0,"good trusted comfy"
"975","Netral",0,"can i say im really love this aðÿº"
"976","Positif",2,"bagus  semoga kedea     menyairkan dana   wikend   uk obligasi"
"977","Netral",0,"   kadang eror knaa suka  dr aendiri trus    buka suka ngehang mbalik "
"978","Netral",0,"good"
"979","Netral",0,"semangat min"
"980","Netral",0,"ok "
"981","Positif",2,"aasi udah bagus sih taolong ditambah   reksadana aja tauga tambahin saham "
"982","Negatif",-1," la   nyobain investasi  ni   aibit  btw jgn luasukin kode refferal ny ya lucukk mayan ges  dacashback k"
"983","Positif",1,"kagak   investasi nya  untung  rugi   untungan  terng   biaya iriman"
"984","Netral",0,"ayok   la   coba gass  jamin enakenn wk"
"985","Positif",5,"aasi investasi    bagustamn okesangat mudah  gunakankalian y sukasaya senang   aasi   baiksangat lancar   fitur nya  menariksuka  keunikan   kemudahan  diberkan  aasi inibagi    beajar menabung  investasi  coba deh aasi  y  suka dehbeneran bagus mudah      cocok  lamantul"
"986","Positif",1,"cocok  investasi la"
"987","Netral",0,"good"
"988","Netral",0,"nice"
"989","Negatif",-1," rugi anj"
"990","Netral",0,"sya gk jdi   haya data sya"
"991","Netral",0,"mantap"
"992","Positif",2,"inves k   mei samseber  untung k saran  la  h reksa dananya  manual  beli reksa dana r uang seharga  ribu  dicamdengan sahamobligasi  klik investasi "
"993","Positif",1,"mudah  la  i insyallah aman"
"994","Netral",0,"aasi  investasi mudah    info  han investasi"
"995","Positif",2," berkembang u diimbangkan  menambah fitur investasi saham bei   reksadana mohon diatikan  developer"
"996","Netral",0,"mantap"
"997","Netral",0,"ok"
"998","Positif",3,"the best  csnya cebanget resya   udah dimudahkan sistemnya  semoga  byk kemajuan diaasi iniutk anak muda  luerinventasi   yakarna teknologi  memudahkan    belajarðÿ kode referral  itbanter"
"999","Positif",2,"baibu   ajuan   tolak  karenakan atm  berbedamhon hdata     salahgunakan terima kasih  tnggu balasan "
"1000","Positif",2,"penjualan reksadana gk  diambil   bikin kaaja"
"1001","Netral",0,"iiiiiiiinii mantani hahahahahahaha"
"1002","Netral",0," membantu finansial"
"1003","Positif",1," memuaskan history  riwayat  terjual  sukses taelum cair  rekening tolong tingkatkan urgent"
"1004","Netral",0,"mantatuk la mudah  mengerti"
"1005","Netral",0,"ora abos"
"1006","Netral",0,"lumyan nih"
"1007","Positif",1,"tolong jaga data sy ðÿsy tdk  meminjam ðÿjika  yg  data sy   sy krna sy sdh mengunistal aasi  ðÿ"
"1008","Netral",0," bibit investasi  mudah   jalan  cocok  la     belajar berinvestasi"
"1009","Netral",0,"good"
"1010","Netral",0,"ok"
"1011","Positif",1,"imasi  bagus  la"
"1012","Positif",2,"bagus biar bintang  bicara"
"1013","Netral",0,"ðÿðÿðÿ"
"1014","Netral",0,"belajar investasi   mudah"
"1015","Positif",1,"cocok  la"
"1016","Positif",1,"sya  tnya aibit ni si ny aman online aimna sih"
"1017","Netral",0,"investasi   "
"1018","Negatif",-1,"  nyimang anget  dingin ðÿ"
"1019","Netral",0,"aa bgus bnget  la"
"1020","Negatif",-1,"mohon data data zy  hajgn samdata   salah gunakanaasi yg  zy  ribettjdi tolong hdata sayakrna sy mw menghaaasinya  hyaðÿðÿ"
"1021","Positif",5,"masukan    user bibit   transfer dana  bibir  rekening utama user    tanggal i    minggu  ualan reksadana    tergantung sistemnya taaat  keian   enak     eritahuan dana   transfer seceya maksimal  minggu   eritahuannya sei  tambahan  mode gelarus sialuncurkan  terkait kenyamanan user  berbeda"
"1022","Netral",0,"good"
"1023","Netral",0,"i dont know but i like"
"1024","Netral",0,"mantap"
"1025","Positif",2,"aasinya keren cocok  ngebisnisðÿðÿðÿ"
"1026","Netral",0,""
"1027","Netral",0,"good"
"1028","Netral",0,"nice"
"1029","Netral",0,"insyaallah dalangsung  k nih masukin kode nya magus"
"1030","Positif",1,"cocok  invest la is the best"
"1031","Netral",0,"ðÿ"
"1032","Netral",0,"coba "
"1033","Netral",0,"  dibuka aasinya kalo i vpn   dibuka kak"
"1034","Positif",1," bagus   suka"
"1035","Netral",0,"sistem ualannya   jgn  ditransfer  bank tambain  biar   e money jd yg gka rekening  ikutan jg"
"1036","Netral",0,"mantah  la"
"1037","Netral",0,"cukuass mudah dimi   i"
"1038","Netral",0,"ok"
"1039","Netral",0,"good aation"
"1040","Positif",4,"sertakan kode referral d a n a    bonus  cashback k   barubibit  membantu  seleksi reksadana  terbaik su   langsung   tenangmrtode   dukung  riset pemenang nobel prizemenggunakan sidern folio theory  dienalkan  harry markowitz     kalangan essional  akademis  mengelola ofolio  penelitian akademik   teruji     aman terawasi ojk"
"1041","Positif",1," berharatuk tim develodameningkatkan keamanan  kenyamanan  nya ðÿ"
"1042","Positif",2,"gak   e es airan nya ðÿƒ   butuh banget"
"1043","Positif",1,"waw aasi  lumayan menarik  mudah diaasikan yahðÿðÿâïayo  download aasi bibit  sekarangðÿ"
"1044","Netral",0,"ðÿœµðÿœµðÿƒðÿƒðÿƒðÿœµðÿœµðÿœµðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿðÿtâœtðÿðÿƒðÿœðÿœµðÿœðÿðÿ"
"1045","Netral",0," membantu iyterimakasi"
"1046","Netral",0,"mantap"
"1047","Positif",1,"bagus ayðÿ"
"1048","Netral",0,"mantaðÿðÿðÿ"
"1049","Netral",0,"metode ayaran nya  udah   i ewallet"
"1050","Positif",5," event nabung rutin     notif  berhasil  saldo rb    cek saldo jagonya sam minggu blm masuk  kena prank  lambang r pencairan instan dana masuk  hitungan detik  bank jago     blm masuk kena k    bca  bni  duluan"
"1051","Positif",1,"bagus  la yg  belajar investasi"
"1052","Netral",0,"pencairan instant  ad yg  instant"
"1053","Positif",1,"bagus"
"1054","Netral",0,"good"
"1055","Positif",1,"bibit  bagus"
"1056","Netral",0,"ayo i kode referalku sibtus"
"1057","Netral",0,"revita lovinary"
"1058","Positif",1,"aasinya bagus"
"1059","Netral",0,"mantap"
"1060","Positif",1,"gila  bibit  invest  la cocok banget nih  bibit  lbih bagus  kode referal nih dcashback    langsung aja salin kode nya nih ar tananda k ya gak  luodenya yaa"
"1061","Netral",0,"aasi mudah efektif semoga   bugs  error   harinya"
"1062","Netral",0,"baguss aasinya"
"1063","Netral",0,"aasi yg  recommended utk investasiðÿðÿ"
"1064","Netral",0,"pake kode reveral  kalo  dabonus  easymoney"
"1065","Positif",1," bagus  "
"1066","Netral",0,"inves teraya  nabung masadehanya  bibit"
"1067","Positif",1,"aagus cocok  la"
"1068","Netral",0,"ðÿðÿðÿðÿðÿðÿ"
"1069","Positif",1," maju  berkembang"
"1070","Netral",0,"mantap"
"1071","Positif",5,"aasinya bagus   mudah  gunakansertakan kode d a n a   tan     mendaftaruntuk mendaan bonus cashback  kaasinya dijamin bagusbisa    investasimenabung   dedan  tunjangan   tuabisa    siaaja   mencoba keuntungan berinvestasi  mudah   dijamin aman    awasi ojkjadi aman deh  gunakanyuk encoba      "
"1072","Positif",1,"aasi nya  bagus mudah  transfer"
"1073","Positif",1,"bagus  belajar menabung  usia muda"
"1074","Positif",1,"   ue  mohon  sistem ayaran via ewallet    memudahkan customer   to  bibit"
"1075","Negatif",-1,"a   gagal regist"
"1076","Positif",1,"aasi yg bermanfaat  mudah  "
"1077","Netral",0,"ðÿðÿ"
"1078","Netral",0,"good"
"1079","Netral",0,"good luck"
"1080","Netral",0," teraya"
"1081","Positif",3,"aasi investasi   bagus  direkomendasikan tamn ramah  mudah  "
"1082","Netral",0,"ðÿœ"
"1083","Positif",2,"setahun   ni aasi setiaut chalenge gak ah daalesan   dah nabung x  tatanya gak  benner enak banget klo ngomong klo gak lwat bener nga  chalengenya ko bener fix uninstal"
"1084","Netral",0,"  etahuan bgi la"
"1085","Netral",0,"good"
"1086","Positif",1,"terbaik"
"1087","Negatif",-1,"  download    aasi  syariah ngk ya mohon jawabannya"
"1088","Positif",1,"bagus"
"1089","Netral",0," memfasilitasi la   invest  bidang saham  obligasi"
"1090","Positif",4,"aasi   bagus   la  metode ayaran  lumayan simjuga admin  resen terima kasih bibitðÿ"
"1091","Netral",0,"mauliate godang"
"1092","Positif",1,"enak "
"1093","Netral",0,"good luck"
"1094","Positif",1,"bagus   gunian taada  airan   "
"1095","Positif",1,"aasi  bagus    invest  nabungga  ngan  sekaligooddd"
"1096","Positif",2,"hhmmm dana airan   wajib chat cs   eairan   dana daruratnya  airan  "
"1097","Positif",1,"keren banget  kode referal ahmadmaulanasurbakti   join ya guys"
"1098","Positif",1,"aerbaik utk invest reksadana  kode reff jendela  utk dn bonus berlimdari bibit"
"1099","Netral",0,"cuan cuan ðÿƒ"
"1100","Netral",0,"best investing app"
"1101","Positif",2,"bitbit  bagus  investor la kerena  dana   "
"1102","Netral",0,"aasi samribet"
"1103","Netral",0,"good"
"1104","Positif",3," bermanfaat   tabungan  dedengan keuntungan   tinggiterimakasih bibitðÿðÿžðÿ"
"1105","Positif",1," menambah income  kedea   taamalama  bukit bismillah yok   dana  tua     ðÿ"
"1106","Netral",0,"  biasabagi   mengerti      berinvestasi"
"1107","Netral",0,"yei infes menyenangkan"
"1108","Netral",0," membantuaas "
"1109","Positif",2,"aasinya  bagus banget berguna    belajar menabunginvestasi nihhðÿðÿ"
"1110","Netral",0," menguntungkan"
"1111","Positif",1," kali   registrasi  mudah  bibit bnyk han investasi jg    belajar invest kynya cocok nih   dlu review nya nnti klo udah  hasilnya  kasih ulasan  tetaanah ya âï"
"1112","Netral",0,"so far so good"
"1113","Netral",0,"kyak nyata"
"1114","Netral",0,"berkah"
"1115","Positif",1,"temnabung rutin terbaik"
"1116","Netral",0," semangat"
"1117","Netral",0,"semoga enga  gangguan aman  terkendali utk imn uangnya"
"1118","Positif",3,"aasi  bagus banget  la  belajar menabung elasannya lumayan mudah  mi cs nya  fast res"
"1119","Netral",0,"jual nya "
"1120","Netral",0,"gak  melanjutkan aftaran kenaoba fitur klik lanjutkan nya gak  diklik"
"1121","Positif",1,"bagus aasi ny membantu  la ðÿ"
"1122","Netral",0," mencoba"
"1123","Positif",1,"bagus"
"1124","Positif",1," tingkat    bagus   mentor  beberaesi terimakasih"
"1125","Positif",1,"bagus"
"1126","Positif",1,"aasi  bagus"
"1127","Positif",1," bagus  investasi"
"1128","Netral",0,"good"
"1129","Netral",0,"mudah dimi"
"1130","Netral",0,"mantap"
"1131","Netral",0,"msh  m"
"1132","Netral",0,"managemen  "
"1133","Positif",1,"aang  bagus"
"1134","Netral",0,"mantap"
"1135","Netral",0,"invest  menguntungkan  bibit"
"1136","Netral",0,"sngat membantu  ormg awam"
"1137","Netral",0,"sy suka  mudah dimisukses utk bibit"
"1138","Netral",0,"ok"
"1139","Netral",0,"insallah berkah"
"1140","Netral",0,"fitur aasi  mudah   osikan  orang awam la  berinvestasi"
"1141","Netral",0,"mantap"
"1142","Netral",0,"mantap"
"1143","Positif",1," bagus taaran  bibit anyak ukuk  reksadana  reksadana indeks uk nya "
"1144","Netral",0,"good"
"1145","Netral",0,"ok"
"1146","Netral",0," membantu  investor lathanks bibit"
"1147","Positif",1,"aman"
"1148","Netral",0," diaiki   airannya yg lamamasa kalah  aasi sebelah yg  butuh  sebentar  es airan"
"1149","Positif",3,"aasi nya  bagus saran   mohon    kaitkan  dana su  mudah   transaksi rikandan mohon  rikan saldo bibit su   esu kalo  yg benerâ butuh uang   cemendaannya"
"1150","Netral",0," bersemangat  berinvestasi reksadana  jangka ang  bibit a semoga bibit amasih     berkembang  samtutup"
"1151","Netral",0,"good"
"1152","Negatif",-1," yg    investasi silahkan  kode refferal  dlifia biar    cashback  rb  la sei   khawatir   rekomendasi  robo yg siambantu nabung  bibit   set goal  databungan berai  "
"1153","Positif",2,"  cocok   aasi nabung buka investasi  iseng bikin goal jt      sarankan  aasi  nabung jt setialan slebeeww ðÿââï mending  nabung   kasur   hasilnya   berbeda ðÿââï autouninstal"
"1154","Netral",0,"live chat   dikliktidak berfungsi   ue"
"1155","Netral",0,"ayo belajar investasi  bibit  kode referral  yaa  gogog semoga  cuan "
"1156","Positif",1,"keren"
"1157","Positif",1,"keren bibit"
"1158","Netral",0,"mantaps"
"1159","Positif",1,"aasi bagus  la   mudah  berinvestasi"
"1160","Negatif",-1,"aasi   membantu  merencanakan investasi"
"1161","Positif",1,"terimakasih kasih bibit  memuaskan investasi "
"1162","Netral",0,"reccomend  la   investasi ðÿ"
"1163","Netral",0,"good jobthankyou"
"1164","Positif",3," investasi jangka ang   dana ium cocok banget"
"1165","Positif",3,"keren drganggur uangnya mending d investasikan  untung  dikit its ok yg uang g diem aja ðÿðÿðÿ"
"1166","Netral",0," bermamfaat"
"1167","Netral",0,"mudah  la"
"1168","Positif",1,"bagus aasinya"
"1169","Netral",0,"    belajar berinvestasi   de"
"1170","Positif",2,"maaf bngt ya   no order sfkisq jual invest  tgl    acc tgl   gak masuk rekening    historynya udah  kirim  masuk  bang jagonya"
"1171","Netral",0,"mantalikasinya  recomend"
"1172","Netral",0,"okehh"
"1173","Positif",3,"aasinya bagus banget cocok  la  nggak ngecewainn"
"1174","Positif",1,"aasi yg mudaj banget  la yg  menabung fiturâ  aasi nya  mudah dimi"
"1175","Positif",2,"  aasi  investasi tailainya   yg terbaik  bibit menurutku   cocok  la yg  belajar investasi"
"1176","Positif",5,"aya cukugus  mudah  taroses pencairan   ikutin turan ojk giliran  inves aja cebgt diterima uangnya tolong  bank kustodiannya  lbh cetoh  jg  deuntungan dr uang yg    invest   bibit mohon diaiki kalo gini  org jd mikir x  taro uangnya  es airannya   terima kasih"
"1177","Positif",1,"dri reksa dana  jago nya lambat  tarik saldo nya"
"1178","Positif",1,"aagus  la   belajar investasi  tingkatkan kualitas nya ðÿ"
"1179","Positif",2,"bibit  berizin  diawasi  ojk insyaa allah aman  amanah"
"1180","Positif",2,"aasinyaa bagus banget  laaðÿ"
"1181","Netral",0,"bibit emang form teraya"
"1182","Netral",0,"good"
"1183","Positif",1,"mantab"
"1184","Positif",1,"investasi tis mudah  terjamin  modal k  investasi  cashback rb dgn masukin kode reveralanribit"
"1185","Positif",2,"mum  refralnyajangantunggulama  i dabonus   anaanmu yg amasaya  investasi  bibit udah       cocok banget  kaum milenialdari  nabung  bank mending  sinibibit oke bangett"
"1186","Netral",0,"oke seneng  aasi nya"
"1187","Netral",0,"aasi investasi ng  yg ah  tau pertahankan  keayaan "
"1188","Negatif",-1,"membantu  menyimuang   tergerus inflasi"
"1189","Positif",1," enak nabung online"
"1190","Netral",0,"wd nya  "
"1191","Netral",0,"âââ"
"1192","Positif",1,"aasi   bagus   membantuuðÿ"
"1193","Positif",6,"aasi buatan karya anak bangsa ðÿðÿ selamat  keberhasilan  perjalanan aasi keuangan  indonesia semoga  no  terbesar  indonesia  dah    no   asiadan  udh tercasebagai bonus no   dunia  menguca selamat  develobibit   staffpegawai    mendukung penuh program   berdikari  mandiri  perjuangan globalisasi   bersaing penuh  negara maju   hararimakasih ðÿðÿ"
"1194","Positif",1,"cocok  la yg  belajar inves"
"1195","Netral",0," baikaku suka seklai aasi iniibagi   la"
"1196","Positif",1,"terimakasih  membantu sukses  kedeya ðÿ"
"1197","Positif",2,"aasi  bagus banget  la  utk belajar menabung elasan mudah dimi"
"1198","Positif",3," nya   es ualan  switching nya yg    aaksimal es   taernyata  samekarang udah     cairâ dana nyaðÿ"
"1199","Netral",0,"mantap"
"1200","Positif",1,"aasi mudah  bagus"
"1201","Positif",1,"bagus "
"1202","Netral",0,"aang  membantu"
"1203","Netral",0,"rekomendasi  orang awam   berinvestasi  "
"1204","Positif",1,"bagus  investasi jangka ang mantap"
"1205","Netral",0,"ok"
"1206","Positif",2,"   nabung  seriusðÿ terima kasih"
"1207","Positif",1," membantu utk maju"
"1208","Positif",1,"aasinya bagus recomended bgt    bgt nyobaa sii bagussðÿðÿðÿ"
"1209","Netral",0,"yuk ges buruan  dwolod aya cukurgunaðÿ"
"1210","Netral",0,"mantap"
"1211","Netral",0,"infestasi xg cukugus n  menguntungkanðÿðÿ"
"1212","Netral",0,"terimakasih  bantuannya bibit"
"1213","Positif",2,"aasi  cocok  remaja  dainvestasi dikalangan anak muda"
"1214","Netral",0,"mantull"
"1215","Positif",2,"bibit merun investasi  aman teraya yuks investasi   investasi bersifat syariah  takut investasi yaðÿðÿ"
"1216","Positif",2,"embangan   stabil taositifnya  ah samminus  yg  salut"
"1217","Positif",4,"aya bagus sih gak    bug     ani   terbaik  nabunginvestasi taaat penjualanmancairkan dana    masuk  rekening  butuh    minggu  mencairkan dana  rekening bca  tolong diaiki  memepencarian dana  rekening"
"1218","Negatif",-2," dicoba  ama kali download tinggal bacaâ rulesnya biar m   dicoba semoga fiturnya  berkembang"
"1219","Positif",1,"aman"
"1220","Positif",1,"bagus"
"1221","Positif",1," maju"
"1222","Netral",0,"bagusss"
"1223","Netral",0,"the bestg daan  setiahunnya"
"1224","Netral",0,"u must have this aecommendedðÿðÿ"
"1225","Positif",1,"bagus"
"1226","Netral",0,"aasi nya  bagusmakasi bibit"
"1227","Netral",0,"semangat berivestasi ðÿª"
"1228","Netral",0,"kacau airan udah    taelum masuk  rekening"
"1229","Positif",1," bagus"
"1230","Positif",4,"aasi  bagus  memudahkan   berinvestasi  berinvestasi  mudah  tis ditambah  fitur  menarik"
"1231","Netral",0,"bibit  ng bagusðÿ"
"1232","Netral",0,"aasi  welcome        menabung terdaberagam instrumen  dadisesuaikan  tujuan  risikonya masingmasing   tamn  fitur  aasi user friendly  han to  det  beragam    han bank mauewallet"
"1233","Positif",1,"bibit    terbaik  segi investasi  la aja  dibantu nya  "
"1234","Positif",1,"lumayan nambah dikit"
"1235","Positif",1,"bermanfaat"
"1236","Positif",1,"bagus bangat"
"1237","Netral",0,"pencairan nya  banget bosss gak sei aasi sebelah cepet"
"1238","Netral",0,"oke  nabung   "
"1239","Negatif",-1,"aasi yg sangatembantu  orang  belajar menabung"
"1240","Positif",1,"beli  jual reksa dana ng  esnya"
"1241","Netral",0,"ok  "
"1242","Netral",0,"semoga bertahan  amiin"
"1243","Positif",2,"bibit  investasi terbaik  ng aman"
"1244","Positif",2,"yg  download bibit yuk download kalo  investasi reksa dana  bibit   banget"
"1245","Netral",0,"aasi saham  la kalo  la  luaftar  kode refferal cuanqbos biar dacashback yaa"
"1246","Netral",0,"ingnya investasi  berguna  menumbuhkan semangat  kalangan lataayang bgt beberarang  minat dg investasi  t  investasi      menikmatinya  jgn takut berinvestasi   la  bgt download aniðÿ tujuan berinvestasi     uang taentang bagamana caramu menjalankan hidusuai  keinginanmu"
"1247","Netral",0,"mantap"
"1248","Positif",2,"aasinya bagus banget  la yg  nabung berinvestasi  ribet menggunakannya   instal ani nya bagus bgt "
"1249","Netral",0," vwa "
"1250","Positif",1," bagus  mudah  "
"1251","Positif",2,"hallo guys  beli saham  reksadana   daftar ya mudahdan aman  investasi yuk   ajak   investasi uang  amandownload aasi bibit  kode referral golyoko a  dijamin  aman karna   satusatunya aasi investasi  mengajak   berinvestasi  negara salam cuancuan ðÿðÿðÿ"
"1252","Netral",0,"ayo buruan investasi  tabung uangmu   dedan  luasukkan kode referal bisakayadimasadepan"
"1253","Positif",1,"aasi investasi reksadana ng bagus  enak  simga ribet"
